subject,count
Debate - at Mcminnville,1
Debate - at WestPoint Invitational meet,2
Debate - Ban on red China topic,2
Debate - Centralia College Invitational Debate tournament,1
Debate club - Students -,1
Debate - Columbia Basin J.C. tournament,2
Debate - Columbia Valley Debate tournament,6
Debate council - Financial report,4
Debate council - Officers,4
Debate - Forensic Triangular meet,1
Debate - Freshmen vs. Freshmen WSC,2
Debate - Freshmen vs. Lewiston State Normal,1
"Debate - Gonzaga, Yakima Normal, WSC, Lewiston Normal, Whitworth and Idaho",1
Debate - Great Western tournament,2
"Debate - Idaho, Oregon, British Columbia",1
"Debate - Idaho, Oregon, Washington",4
Debate - Idaho All-State debate tournament,3
Debate - Idaho invitational tournament,1
Debate - Idaho Speech conference,1
Debate - Idaho vs. Willamette University,1
Debate - in district tournament,1
Debate - Inland Empire Debate tournament,18
Debate - Inland Empire Junior College Debate tournament,3
Debate - Intercollegiate Forensic League,2
Debate - International,1
Debate League,1
Debate - Linfield College Annual meet,9
Debate - Moscow University (Russia) Challenge,1
Debate - National discussion tape,2
Debate - National Intercollegiate Discussion program,1
Debate - National Intercollegiate meet,1
Debate - National Student Federation Congress,1
Debate - National Tournament at West Point,3
Debate - Northwest Speech Tournament,3
Debate - Pacific Forensic League,2
Debate - Pacific Forensic League meets,8
Debate - Political,6
Debate - Preparatory School,2
Debate - Preparatory vs. Blair Business College,1
Debate - Preparatory vs. Grangeville High school,1
Debate - Preps vs. Blair Business College,1
Debate - Preps vs. Lewiston High School,1
Debate - Press/Military,1
Debate - Ride Baugh Debate prize,1
Debate - Rocky Mountains Triangular,1
Debates,1
Debate team,39
Debate tournament at Salt Lake city,1
Debate -Tri-State debate tournament,2
"Debate - Varsity team, University of British Columbia, University of Montana",1
"Debate - Varsity team, WSC, Montana State University",4
Debate - Victor price fund,1
Debate - Victor price society,5
Debate - vs. Brigham Young University,1
Debate - vs. British Columbia,2
Debate - vs. Cambridge University,3
Debate - vs. Columbia University,1
Debate - vs. Fresno State College,1
Debate - vs. Gonzaga,12
Debate - vs. Loyola University,1
Debate - vs. Marquette University,2
Debate - vs. Montana School of Mines,1
Debate - vs. Montana State College,1
Debate - vs. Montana State University,7
Debate - vs. Montana University,2
Debate - vs. North Dakota Ag College,1
Debate - vs. O A C,2
Debate - vs. Oxford,3
Debate - vs. Oxford University,3
Debate - vs. Pacific University,3
Debate - vs. University of British Columbia,1
Debate - vs. University of California,3
Debate - vs. University of Dublin,1
Debate - vs. University of London,1
Debate - vs. University of Oregon,9
"Debate - vs. University of Qubuque, Iowa",1
Debate - vs. University of Southern California,3
Debate - vs. University of Utah,5
Debate - vs. University of Washington,8
Debate - vs. Utah Agricultural College,4
Debate - vs. Whitman,7
Debate - vs. WSC,13
Debate - Western Speech Association tournament,1
"Debate - Women - , Montana University, WSC",1
Debate - Women - vs. OAC,2
Debate - Women - vs. University of Oregon,1
Debate - Women - vs. University of Washington,1
Debate - Women - vs. WSC,2
"Debate - WSC, Whitman and Idaho",3
"Decker, Charles O.",3
"Decker, Fred",1
"Decker, Sheri",1
"Deckey, Gene",1
Decoration day,1
"Dedolph, Fredrick",1
Deer,2
Defense courses,2
Defense training,1
"Degeneres, Ellen",1
Degrees,1
"Degrees, dual",1
"Degrees, Masters",1
"Degrees, putting husband though (PHT)",4
Degrees - proposed,1
"Dehli, Severre",1
"Dehlinger, Bob",2
"Deitz, Charmaine",1
"De La Cueva, Anna",1
"Delahoyde, Dr. Michael",1
"DeLancey, Opal",2
"DeLeve, James",1
"Dellinger, Gerold",1
"Delta, Gamma",14
Delta Chi,8
Delta Delta Delta,28
Delta Gamma (Sorority),1
Delta Mu,2
Delta Mu Chi,3
Delta Sigma,4
Delta Sigma Phi,7
Delta Sigma Phi dream girl,19
Delta Sigma Rho,7
Delta Ta Society,1
Delta Tau Delta,13
Delta Upsilon,1
"Deluca, Tom",1
"Delvin, Clarence 'Devy'",2
"Demaree, Rebekah",1
"De Mattia, Margaret",1
"Dempsey, Carolyn A.",2
"Dempsey, Martha Sue",2
"Denny, Dick",7
"Denny, Martin",1
"Denton, Louie",3
"Deobald, Arlene",1
Department of Agronomy,1
Department of Agronomy - curriculum,1
Department of Agronomy - Wheat cross,1
Department of Economics and Business,1
Department of Economics - staff,1
Department of English,7
Department of Fish and Wildlife Resources,1
Department of Geology,16
Department of History,4
Department of Home Economics,19
Department of Horticulture,2
Department of Journalism,13
Department of Mathematics,7
Department of Mechanical Engineering,7
Department of Mining,9
Department of Music,19
Department of Physical Education,10
Department of Physical Science,2
Department of Physics,7
Department of Plant Pathology,1
Department of Poultry,5
Department of Psychology,3
Department of Social Science,1
Department of Sociology,2
Department of Veterinary Science,10
Department of Zoology,2
DePaur Chorus,1
"De Rivera, Paquito",1
"Derr, Allen",3
"Derr, Jim",1
"Deshler, Bill",1
"Deskiewicz, Al",1
"Deskines, Susan",2
Desperate hours,7
Detour' - Non-official student newspaper,1
Deutsche Geselschaft,1
Development department,1
"Dewald, Henry",1
"Dewey, Edna L.",1
"Dewey, Harry",1
"Dewey, William C. Jr.",2
Dewey Memorial prize - Debate,7
"DeYoung, Garry",1
Dharma Bums (Band),1
"Dhillon, Bhupingar Singh",1
"Dhillon, H.S.",1
"Dhillon, Hardit Singh",1
"Dhillon,Rajinder Singh",1
"Dhillon, Sulakhan Singh",1
"Dick, Kenneth A.",3
"Dickerson, Dan",1
"Dickey, Eugene",4
"Dickinson, John",1
"Dickinson, Sherman",2
"Dickow, Robert",1
"Didger, Leonard P.",1
"Diehl, Charles",4
"Diehl, Gordon",4
"Diehl, Jerry",3
"Diehl, Ted",6
Dietician,2
"Diettert, R.A.",1
"Dietz, Carl F.",1
"Dietz, Norman and Sandra",3
"Dimick, Dean",1
"Dingel, Allyn",1
"Dingle, Bertram",6
"Dinnison, Leah",1
Diogenes Lantern,2
Directed study courses,1
Director of admission,1
"Dirks, John",1
"Dirkse, Donald",1
Dirt Fisherman (Band),2
Disability Awareness week,1
Disability program,1
"Disabled, devices",1
"Disabled American's meeting, Denmark",1
Disciplinary board,1
Disciplinary committee,1
Discrimination,5
"Dishu, Cucharn Sign",1
"Disney, Dwight",1
Distribution of student,5
Divestment,1
Diving team,1
"Dixon, Darryl",2
"Dixon, Gary",3
"Dixon, John E.",1
"Dobbin, Denny",1
"Dobbler, Clifford",2
"Dobratz, Patti Jo",4
"Dobson, Joe",6
"Doctorate degree, plan",2
Doctor Auntie,1
"Dodd, Mrs. John Bruce",1
"Dodle, Dick",1
Dogs,15
"Dole, Dorothy",3
"Doll, Gilbert",3
"Dollinger, Stewart",3
"Doman, Ross",1
"Domestic Science department, University of Idaho",5
Domestic violence,1
"Domino, Fats et al.",2
Donald R. and Cora E. Theophilus student award,1
Don Juan in Hell,4
"Donk, M.G.",1
"Donovan, Jack",3
"Doohan, James ('Scotty' - Star Trek)",2
"Doris, Terrill",1
Dormitories,73
"Dose, David",1
"Doss, Erice",1
"Dotson, Frank B.",2
"Dotson, Jay Carrith",1
"Dougherty, Jerry",1
"Douglas, Bill",1
"Douglas, Dick",1
"Douglas, Ronald",1
"Douglas, Senator Paul",2
"Douglas, Stephen",2
Douglas Dingle Award,1
"Douglass, Jeniffer",1
"Dowling, Walter C. (Ambassador)",2
"Downing, G.W.",1
"Doyle, Harold",1
"Doyle, Thayne",1
"Dozier, Jack",1
Dozier-Jarvis-Jensen quartet,1
Dr. Auntie,1
Draft (Military),12
Draftee departures,1
Drafting course for women,2
Drafting room,1
Draft protest march,1
Draft registration,3
Drama,2
"Drama, (Productions)",7
"Dramatic, Department of",2
Dramatic club,1
Dram class for children,1
"Draper, Paul",2
Dream Appreciation group,1
"Dreeman, Dr. Peter K.",2
"Dressler, Dr. David",1
"Drexel, Robert",1
Drinker's bus,6
Drinking age - Idaho,20
Drinking policy - campus,1
Driver's education,3
Drop-out rate,2
Drugs,30
"Drummer, Dancers and dreamers",1
"Drummond, Robert",3
Drunk driving accident,1
"Duckworth, Harriet",1
"Dudley, Helen",1
"Duffey, Grover James",1
"Duffin, Lawerence",1
"Duffin, Lawrence",1
"Dufford, Phillip",1
"Duffy, Bud",3
"Duffy, C.W. (Pat)",1
"Duffy, Darlene",2
"Duffy, Laura",2
"Duffy, Pat",4
"Dumas, Dr. Phillip C.",1
"Duncombe, Sydney",4
"Dunlop, Pytt Andrew",1
"Dunn, Alfred",10
"Dunn, Bruce",1
"Dunn, Kasey",4
"Dunn, Krista",1
"Dunne, Jack",1
"Dunning, John",1
"Durant, Verla (Mrs. Paul Ennis)",4
"Durfee, Edgar Noble",1
"Durham, Harold 'Bull'",4
"Durrie, Paul",1
"Dusault, Donald D.",2
"Dusault, Francis",4
Dutch Elm disease,1
"Dworshak, Senator Henry",3
"Dye, Claude O.",1
"Dyer, John R.",3
"Dyrgall, Vic",4
"Dyrgall, Victor",3
"Eames, Wendell G.",1
Eames 'Stuby',1
Early Childhood Learning center,10
Earth Day,3
Earth first (Environmental group),1
"Easley, Howard",1
"Easterbrook, John",1
Easter service,2
"Easter service, inter-church",2
Easting disorders,3
"Eastman, Morjorie",1
"Eastman, Ray E.",1
"Easton, Stanley A.",4
"Eberhard, Milton",3
"Eby, Dr. Kermit",2
"Eccher, Rena",1
"Echohawk, Larry",1
"Eckhardt, W.L. 'Lee'",1
Economic opportunity act - Idaho application,1
"Ecton, Kathy",1
"Edgett, Clarence M.",1
Edie Shaw and the Wolf Gang (Band),1
"Edmonds, Kris",1
"Edmonds, Miss Marabel",1
"Edmundson, Clarence (Heck)",17
Educational consulting service,1
"Educational field services, Department of Education",4
"Educational Improvement Committee, A.S.U.I.",6
Educational Testing Service,1
Education - Financial and Informational report on education in the State of Idaho,2
"Edwards, Carolyn",2
"Edwards, Louis L. Jr.",2
"Edwards, Monte R.",1
"Edwards, Philip",2
"Eenn, Lloyd",1
Effigy hanging,1
"Egerton, Ted",1
"Ehrdardt, E.H.",1
"Ehrlich, Dr. John",2
"Eidam, George",10
"Eiden, Max",6
"Eiguren, Roy",1
"Eimers, Richard",2
"Eimers, William",2
"Eisenbarth, Jeffery G.",1
"Eisenbarth, Tom",1
"Eisenhower, Dwight D.",1
"Elder, Carolyn M.",3
"Elder, Dean M.",1
"Elder, Gerry",1
"Elder, John",1
Elderhostel program,1
"Eldred, Cliff",1
"Eldred, Greta",1
"Eldridge, Hugh",1
"Eldridge, J.G.",10
Election board,5
Electioneering,1
Election night wake,1
Election poll,1
Elections - city,2
Elections - National - Student voting,3
Elections - State,2
Elective system,1
Electrical Department -,1
Electrical Engineering Department -,3
Electrical Engineering- registration for labs,1
Electrical Engineering society,6
Electrical improvement,1
Electrical Van (Built by mechanical engineering students,1
Electric Railway - City of Moscow,2
"Elegant, Robert S",2
"Elementary summer school, (Grade 1-6)",1
Elephant Man - Play,2
"Elgart, Les",1
Elk,1
Elk river (Band),1
"Eller, W.H.",1
"Ellingston, A.L.",1
"Elliot, Dean",1
"Elliot, Ed",2
"Elliot, Robert G.",1
"Ellis, Donald",4
"Ellis, Ernest W.",1
"Ellis, Everett",1
"Ellis, William Jr.",1
Elm street - made one way,1
Elm street school,2
Elocution department,1
El Salvador - Academic freedom,3
"Elsensohn, Mary A.",1
Emergency landing - Football team,1
"Emerine, Steve",1
"Emerson, Ken",1
"Emery, Carla",1
"Emmingham, Bill",1
Emphasis education week,1
Empire' - Vandal mascot,3
Employee insurance,1
Employees - University of Idaho,2
Employment Bureau,1
Employment condition,1
Employment service - Irregular help,1
Endowments,1
"Engberg, R.C.",1
"Engelking, Rex",1
"Engerbretson, Eric",1
Engineer's tie,1
Engineering advisory council,2
Engineering building (New),4
Engineering building (Old),5
Engineering building addition,1
Engineering defense training course,1
Engineering laboratory building,3
Engineering outreach program (Video outreach),3
Engineering program 9 Boise state branch),1
Engineering students,2
Engineer of Merit' award,1
Engineers assembly,1
Engineers ball,11
Engineers club (Associated),1
Engineers day,6
"Engle, Bernard F.",1
"English, Bill",2
English club - University of Idaho,18
English courses 103 and 104 - enrollment problems,2
English department,1
English grammar - changes,1
English proficiency test,1
Enlistment,3
"Ennis, Paul",3
"Ennis, William (Bill)",1
Enrollment,161
Enrollment limitations,4
Ensemble Alcatraz,1
Entrance Examination,1
Entrance requirements,8
Entrance test - English,1
Environmental awareness,1
Environmental group,1
Environmental learning center (Moscow Public Schools),2
Environmental Science club,1
Environmental science-en-act - club,1
Environment committee,1
"Eoosevelt, Theodore",3
Episcopal institute,1
Epsilon Sigma Phi,4
"Erb, Charles E.",9
"Erdman, Virginia",2
"Erickson, Carol",1
"Erickson, Clara",1
"Erickson, Dennis",7
"Erickson, Everett W.",1
"Erickson, F.M.",2
"Erickson, Jon",1
"Erickson, Laune",2
"Erickson, Mrs. Elmer H.",2
"Erickson, Ralph",1
"Erickson, Ralph (Leif)",1
"Erickson, Ruth",1
"Eroschenko, Victor P.",2
"Erramouspe, Joe",1
"Erstad, Marge",3
"Eschevarria, Frank",4
Escort service,5
"Eshelman, Byron E.",2
Essay contest - U.N.,1
ESTES vs. Shoup Case,11
European summer tours (for course credit),9
"Eustachy, Larry",3
"Evans, Alvin E.",1
"Evans, Grove",1
"Evans, John",7
"Evans, Marilyn",1
"Evans, Mary Ann",2
"Evans, Mary Lynne",1
"Evans, Paul (chick)",2
"Evans, Philip J.",1
"Evans, Sadie",2
"Evans, Sandi",1
"Evenden, James C.",1
"Everest, Helen",1
"Everly, R.E.",1
"Everson, Jenny",2
"Ewing, G.J.",1
"Ewing, John",1
Exchange program - Israeli good will visit,2
Exchange program - Students,5
Exchange students,20
Exercise and physiology lab,1
Experiment station farm of UI,7
Experiment station land acquirement,2
Experiment stations - conference,3
"Experiment stations - Forest, Wildlife and Range",2
Explore Idaho program (High School relation program),3
"Exploring global issues, an intercultural perspective",5
Explosion,3
Extension bulletin,1
Extension classes,1
Extension conference,3
Extension courses,10
Extension institute special,2
Extension service,12
Extension - summer vocation camps,2
Extra curricular activities,1
Extremities (play),1
Faculty,2
Faculty appointments,22
Faculty Art exhibit,6
Faculty club,3
Faculty committee on Health and housing,2
Faculty committees,2
Faculty constitution,1
Faculty council,152
Faculty Development program,1
Faculty Directory,1
Faculty evaluation by students,10
Faculty forum series,1
Faculty housing project,6
Faculty Medical fund,1
Faculty - morale,5
Faculty planning,1
Faculty promotion,5
Faculty publications,1
Faculty recital,1
Faculty retirement,1
Faculty - salary,16
Faculty secretary,1
Faculty staff council,1
Faculty student handbook,1
Faculty - turnover,5
Faculty women's club,2
"Fagerbakke, bill",1
"Fagg, Grant",1
"Fahrenwald, A.W.",18
"Fahrenwald, Mary Lou",1
"Fairchild, Mary Allen",1
"Falash, Robert 'Bob'",4
"Falash, Tom",2
"Falk, Carol",1
"Fallini, Joe",2
"Fallino, Mike",1
Fall-out shelters,3
Fall registration,25
"Falls, Clark",1
Fall Semester 1991 events,1
"Falone, Julie",1
"Falter, J. Michael",1
Famers' fair,4
Family housing,1
Family portrait',1
Family weekend,4
"Fancher, Rick",1
"Fanning, Stan",1
Fantasticks,6
"Farley, Carol",1
"Farley, Ruth",1
"Farmer, James",2
"Farmer, Ralph",2
Farmer - housekeeper week,3
Farmers institute,4
Farmers week,8
Farm helpers,1
Farm house,6
Farmhouse fraternity,3
"Farnsworth, Gary",2
"Farnsworth, Mrs. Charmaine",1
"Farrar, C.S.",3
"Farrrelly, Bob",1
Fashion design,1
Fashions at,1
Fast for a world harvest,2
"Faucher, Dennis",1
"Faucher, Jim",1
"Faulkner, Jim",1
"Favaro, Bernard",1
"Favre, Clarence",4
"Fawcett, Clifford J.",1
FBI law enforcement institute,2
Federal Aid to the University of Idaho,1
Federal Aviation agency ground school at University of Idaho,1
Federal Communication commission,1
Federal grant for part-time student jobs -,1
Fees,124
Fees and deposits,1
"Felker, Luther B.",1
"Fellows, Bob",1
Fellowships,7
Fellowships (Borah foundation),1
Fellowships (French government),1
Fellowships (Iddings),1
Fellowships (Kaiser Aluminum and chemical corp.),1
Fellowships (LISLE),1
Fellowships (N.D.E.A.),2
Fellowships (N.S.I.),1
Fellowships (P.F.I.),1
Fellowships (U.S. Steel to Dr. Caldwell),1
Fellowships (Woodrow Wilson),3
"Felton, Margie",1
"Felton, Mike",1
Fencing,31
Fencing club,5
"Fenn, Lloyd A.",1
"Fenton, Innam",1
Ferdinand Roten Galleries exhibition,1
"Ferguson, Geneva",1
"Ferguson, J. Homer",3
"Ferguson, Maynard",1
"Ferney, Ruth",1
"Fernholz, Dr. Donald L.",1
"Ferris, John",1
Fertilizer Research meeting,1
"Fery, Bruce",1
Festival of fine arts,6
"Feuling, Toby",1
Fevar Stephan,1
FFA - Officers,1
Fiction writing workshop,1
"Field, Andrew",1
"Field, Charles",1
Field day,1
Field hockey club,1
"Fife, Ray",5
Fight in-State tuition (FIST),1
Figment' (Science fiction and fantasy magazine),1
"File, James C.",2
Films - merger of WSU and UI collections,1
Final examinations,8
Final exam schedule - student referendum,3
"Finance controversy, university of Idaho",2
"Finances, University-editorial",1
Financial aid,6
Financial aid - advise,1
Financial aid - applications,3
Financial aid - Audit,1
Financial aid fraud,2
Financial aid management system,1
Financial aid office,2
Financial and quality control project,1
Financial exigency,6
Financial status - University of Idaho,4
Financial vice president,1
"Finch, Dr. John Wellington",4
"Finch, Jake",1
"Finch, James",1
Fine Arts exhibit,1
Fingerprinting at,2
Finian's Rainbow',5
"Finley, Arthur M.",4
"Finley, Charles L. (Chuck)",1
"Finley, Chuck",7
"Finney, Marlene",1
"Fire, University of Idaho",1
Fire alarms,3
Fire - Apartment house,2
Firearms - Policy of,6
Fire drills,1
Fire - LDS house,1
Fires,3
Fire safety,1
Fire - Satellite Sub,1
Fires in university dormitories,10
Fire spotter,1
Fire - Tennis shed,1
"Firkusny, Rudolph",1
First aid students (free service),1
First building on campus (Memorial steps),1
First woman to achieve straight 'A' graduate,1
"Fischen, Carl",1
Fishbone - Musical group,2
"Fishburn, Harry Proctor",1
"Fisher, Dr. Robert A.",1
"Fisher, James C.",1
"Fisher, James D.",1
"Fisher, Jim",1
"Fisher, Joan",1
"Fisher, John",1
"Fisher, Merle",8
"Fisher, Viola",1
Fisheries laboratory,1
Fishery resources,1
Fish laboratory,1
"Fitch, James",2
"Fitzgerald, Bernard R.",1
"Fitzgerald, Charmaine",1
"Fitzgerald, Ella",1
"Fitzgerald, John",4
"Fitzgerald, Kenneth",1
"Fitzgerald, Professor Oren A.",1
"Fitzgerald, Rosemary",1
Fitzgerald Memorial rock,1
"Fitzke, Bob",6
"Fitzpatrick, Jack",4
"Fitzsimmons, D.W.",1
Five-Year plan (University of Idaho),1
"Fjelde, E.J.",1
"Fjelde, Olaf",1
"Flabel, Steve",1
Flag washing,2
"Fleming, Babe",1
"Fleming, Dr. J. Millard",2
"Flenner, Esther",3
"Flenniken, Mack",1
"Fletcher, Allen",1
"Fletcher, Dr. Max E.",4
"Fletcher, Paul M.",1
"Flomer, Judy",1
"Florell, Dr. Victor",1
"Floyd, Henry",1
"Floyd, Tim",4
Flu Epidemic,17
"Fluharty, Lee",1
"Fluharty, Rex",1
"Fluhrer, Roy",2
Flying course (C.A.A.),6
"Flynn, Tom",1
"Foelsch, Rev. Charles B.",1
Foil and mask (Fencing club),1
Folk Dance Festival (Sponsored by WRA and AWS),10
"Folz, William E.",4
Food for freedom conference,2
Food Services,51
Food Services committee,2
Food stamps,3
"Fooks, Herbert C.",1
Fool for Love' - Play,1
Foosball (Machine game),3
Football,1315
Football - All American team,3
Football - All Coast Eleven,3
Football - All Pacific coast team,3
Football - Alumni game,2
Football - Army,7
Football - Autographed football,1
Football - Awards,4
"Football - Awards, East-West Shrine All-Star game team selection",1
"Football - Awards, Gannett All-American team",1
Football - Best player of the year (Argonaut),1
Football - Big Sky,4
Football - Big Sky All-American team,2
Football - Bowl bids,1
Football - Coaches,2
Football - Coaching staff,16
Football - Contest to name team,1
Football - East-West game,3
Football - Fighting dummy,1
Football - Financial report,4
Football - Freshman,53
Football game,12
Football managers,2
Football Mascot (Empire),1
Football Mascot (Proposed. Price Alpine Don 2),2
Football players,4
Football practices,1
Football rallies,3
Football rally,1
Football rules,2
Football - second team,1
Football statistics,1
Football team,79
Football team member,5
Football - Team standing - Northwest conference,4
Football training rules,1
"Forbes, Robert H.",1
"Ford, Pam",1
"Forde, Merlene",1
Foreign Instructor,1
Foreign Language and Literature Department,3
Foreign language contest - Cosmopolitan club,3
Foreign language week,2
Foreign Service Applications,1
Foreign Service Examination,1
Foreign student day,1
Foreign student relations,1
Foreign students,60
Foreign study,2
"Foreman, Dave",1
Forensics,1
Forester's ball,16
Forester's club,9
Forester's Whistle,1
Foresterettes,1
Foresterettes - officers,1
Foresters Association,1
Forestry building,4
Forestry - course for ranger,6
Forestry Day,1
Forestry laboratory,2
Forestry majors,1
Forestry - Nursery,3
Forestry plaza,1
Forestry - Poster contest,1
Forestry - Summer camp,3
Forestry Utilization Research program,1
Forestry week,19
Forestry - Wood Conversion lab. Building,2
Forgery change - Student,1
Forge Shop,1
Former Football player,3
"Forney, Cora May",1
"Forney, Keith S.",4
"Forney, Mary E.",1
"Forney, Rosa",1
Forney Hall,7
"Forrester, Dr. James Donald",1
Fort Hall Indian Reservation,1
Fortieth Anniversary,2
"Fortner, John Jay",2
"Fort Vancouver, Washington",1
"Foruria, John",1
Fossil beds,1
"Foster, Bryon W.",1
"Foster, Carol H.",3
"Foster, Dick",9
"Foster, James",1
"Foster, Jeanne",1
"Foster, Jimmy",1
"Foster, Ralph",1
"Foster, Tiny",1
Foster Ralph Baxter,1
"Fothergill, Ralph",1
Founder for higher education,1
Founders day,3
Found Money Fund of Idaho (FMFI),6
Four Point students,1
"Fourt, D.L.",3
"Fourt, John D.",1
Fourth party(Campus coalition party),3
"Fowles, (Nels)",4
"Fowles, Frank",1
"Fox, Al",1
"Fox, Alex",7
"Fox, Rich",1
"Fox, Richard (Rich)",20
"Fox, Sheri",2
"Foy, J. Vail",1
"Franceschi, Vera",2
"Frandson, J.H.",1
"Franklin, DeLance",1
"Franks, Loretta",1
"Franson, Doris",1
"Franson, Marian",2
Fraternities,10
"Fraternities, professional",1
Fraternities and sorority rush,17
Fraternity caroling,1
Fraternity rush,2
Fraternity rushing rules,6
Fraternity Sweetheart contests,1
"Frates, Bill",2
"Fray, Bill",4
"Frazce, Margaret",1
"Frazier, J.H.",1
"Frazier, Jenny",1
"Frazier, Joe",1
"Frazier, Zane",2
"Fredekind, Norman",2
"Frederikson, Kenneth R.",1
Freedom week,1
"Freeman, Jim",1
"Freeman, Sammie",2
Freeman. Fred,2
Free University,16
FREM,1
"French, Bette",1
"French, Burton L.",12
"French, H.T.",1
"French, Permeal J.",10
"French, Permeal J. - Memorial fund",1
"French, Permeal J. - Presentation of portrait",1
"French, Skip",1
French Club,6
French House,8
French Language House,11
French Universities (Methods explained),1
Fresh Fields',1
Freshman class extended executive board,1
Freshman Executive Board,1
Freshman-Faculty forum,1
Freshman glee,1
Freshman orientation,9
Freshman Prose Bowl,3
Freshman recruitment program,2
Freshman-Sophomore contest,32
Freshman summer start program,1
Freshman week,95
Freshman yell team,1
Freshmen directors,18
Freshmen - Glee week,2
Freshmen registration program,1
"Freund, Jane",5
"Frevert, G.E.",1
"Friedman, Stanton T.",1
"Friel, Jack",2
Friends of distinction,1
Friends unlimited,4
"Friesz, John",7
Frisbee golf,2
Frisbee throwing contest,3
"Fritz, Marlene",1
"Froes, Sam",1
"Frogness, Matt",1
"Frome, Michael",5
"Frost, Darlene",1
"Fry, Don",2
"Fry, Hiram",1
"Frying, Leroy",1
"Frykman, Marian",6
"Fugato, Robert",4
"Fukuyama, Frank",1
"Fulbright, Senator J. William",1
"Fuller, Buckminster",1
"Fuller, Jesse",1
"Fuller, Major Francis R.",1
"Fuller, Sandra",2
"Fulton, Janet",2
Funding increase (Proposal from Governor),1
Future business leaders of America Association,1
Future committee,2
Future Farmers of America,2
Future homemaker of America,1
Future Idaho students,1
Future teacher of America,1
G.I. Bill,9
G.I. Bill (for student education),3
G.O.P. club,2
"Gagnum, Helge",3
"Gagon, George",1
"Gail, Floyd W.",4
"Gale, Clare",1
"Gallant, Ken",1
"Galloway, Leslie",1
"Galloway, Thomas C.",2
Game fair (Role-playing),2
Gamma Phi Beta,9
"Gandi, Sunanda",1
"Gano, Jay",1
"Gant, Nellie",1
Garbage-to-steam-plant,1
"Garber, Jan",2
"Garcia-Amador, Dr. Francisco",5
"Garland, Jasper V.",1
"Garmon, Steve",1
"Garner, Jay",1
"Garnett, Maude",1
"Garrard, Verl G.",1
"Garrett, Duke",1
"Garrett, Jay",2
"Garrie, Clayton",1
"Garst, Russell",2
"Gartin, Bob",1
"Gartin, Charles",2
"Gartin, Williams C.",2
"Garvens, Elfriede",1
"Gary, Wilbur",17
"Garza, Frank",1
"Gaskill, Alice",1
"Gaskill, Dale",1
"Gaskins, Richard (Dick)",10
"Gasser, Vern",1
"Gates, P.O.",1
"Gaudy-Gert, Ugly-Ike contest",1
"Gault, Franklin B.",2
Gault Hall,5
Gault Hall fire - 1956,11
Gault Hall - fire victims memorial scholarship,5
Gault Hall - snowball queen,13
"Gauss, H.F.",4
"Gauthier, Sheri",1
Gay People Alliance,1
Gays,30
GDI's (Independent students),1
GDI week,21
"Geddes, Jim",1
"Geddes, Norma",2
"Gehrke, Gertrude",1
"Geiger, Joseph",3
"Geilough, L.S.",1
"Geisler, Dick",4
"Gelletly, Dr. Susan",1
Gem of the Mountains,138
General Electric Graduate School of Nuclear Engineering,2
General Engineering Society,1
General studies program (Undergraduate degree program,1
"Genoway, Joyce",2
"Gentile, Paul",2
"Gentry, Dean",1
"Gentry, N. Dale",1
Geography awareness week,1
Geography Department,1
"Geological society of America, Rocky mountain division",1
Geology museum,1
"George, Florence",1
"George, Yvonne",1
"Georges-Picot, Guillaume",3
"Geraghty, CY",5
"Geraghty, Wally",11
"Geraghty, Wally M.",1
"Gerard, Jack",1
"Gerlough, Jean",2
"Gerlough, Tillman B. (Turk)",2
German club,1
German Measles,1
"Gerpheide, Pete",3
"Gersting, John M.",1
Getting Out' by Marsha Norman,2
"Ghiglieri, Sally",3
"Ghormley, Alfred M.",1
"Ghormley, Robert",2
Ghosts,2
"Gibb, James",1
"Gibb, Mary W.",1
"Gibb, Richard",53
"Gibb, Robert S.",3
"Gibbs, Raphael (Rafe)",4
"Gibbs, W.M.",1
"Gibson, C.W.",1
"Gibson, Lee",2
"Gibson, Ron",1
"Gideonese, Dr. Harry D.",4
Gideons (Bible hand-out),1
"Gier, Nicholas",1
"Giese, David",9
"Giese, David F.",1
Gifts to College of Forestry,2
Gifts to College of Law,1
Gifts to library,22
Gifts to University of Idaho,115
Gift to Electrical Engineering department,2
Gift to School of Engineering library,1
GIGI',4
"Gigrary, William",1
"Gilbert, Nada",1
"Gilbertson, Dr. Robert",1
"Gilbertson, Keith",3
"Gildemeister, Velma",1
"Gilder, Gary",1
"Gile, Paul",2
"Giles, Robert H. Jr.",1
"Gill, James John",3
"Gill, Lexie",1
"Gillan, Doug",1
"Gillespie, Dizzy",2
"Gillespie, Joe",2
"Gillis, John",8
"Gilmore, Eddy",3
"Gipson, James Herrick",1
"Gipson, Lawrence H.",4
"Girard, James",2
Girls - 1903,1
Girls Glee club,7
Girls Rifle club,9
"Gisler, Janice Rieman",1
"Gittins, Arthur E.",2
"Gittins, Arthur R",1
"Given, Boyd",1
"Givens, Raymond L.",3
"Glades, Karl",1
"Glander, Joe",2
Glasgow University,1
"Glass, Bently",3
"Glass, Jack",1
"Glasscock, Mary",1
"Glaves, Max",3
"Gleason, Earl",1
Glee Club,10
"Glee Club, mixed",4
Glee Club - tour,7
Global warming grant,1
"Glycart, Chris Karl",1
"Gnoza, Edmond",1
"Godbold, Molly",1
"Goddard, Ben",1
"Goddard, Jim",5
